real_name,h1-3892_1,h1-1664_1,h1-162_1,h3-3521_1,h3-3988_1,h3-3417_1,h3-3829_1,h3-3357_1,h3-3594_1,h3-3892_1,h3-1152_1,h3-313_1,h3-209_1,h3-331_1,h3-707_1,h3-3956_1,h3-2270_1,h3-521_1,trib_1,total_1,dh3892_1,p-trib_1,p-total_1
104,89.8349,84.6193,85.5675,94.9944,94.6338,91.82,90.2176,88.5168,88.9275,89.7386,84.9425,98.93,90.9324,88.2999,86.4282,87.7198,84.7256,85.6446,-7314.65,-10074.4,0.0963572,-5898.53,-8621.22
105,89.998,84.5614,85.5228,94.7765,94.4201,91.6922,90.1594,88.4432,89.1221,89.891,85.0311,98.2896,90.9941,88.3184,86.5067,87.3404,84.7041,85.5177,-7533.76,-12431.5,0.107069,-6165.21,-10997.8
106,89.7845,84.9274,85.4443,94.725,94.9672,91.5054,89.9429,88.6529,89.0553,89.6773,85.1186,98.6139,90.7266,88.115,86.4562,87.7039,84.9329,85.4477,-8774.97,-10506.4,0.107137,-7671.51,-9374.13
107,89.6707,84.7202,85.4921,94.7953,94.8782,91.3674,90.2568,88.1005,89.1629,89.5861,84.9693,98.5045,91.1808,88.7992,86.6062,87.2903,84.6643,85.8018,-8956.57,-10329.1,0.0845803,-7412.34,-8781.12
108,89.8372,84.7292,85.4842,95.0254,94.8001,91.7444,90.039,88.5309,89.3054,89.7414,84.907,98.7036,91.015,88.532,86.678,87.4121,84.6376,85.7105,-8128.8,-11869.1,0.0957279,-6490.39,-10172.6
109,89.6488,84.8732,85.539,94.8528,94.6078,91.3597,89.8962,88.4797,89.1287,89.545,84.9614,98.4291,90.7985,88.1918,86.3032,87.4137,84.6531,85.6738,-8740.61,-10658.5,0.103841,-7611.27,-9511.36
110,89.7976,84.6553,85.4091,94.7756,94.782,91.4132,90.6164,88.6034,88.9915,89.7276,84.842,98.8735,90.9541,88.8678,86.4428,87.3044,84.7698,85.6317,-8124.38,-11339,0.0700467,-6434.29,-9611.51
111,89.7594,84.5548,85.4733,95.3406,95.138,92.0769,90.0733,88.2218,88.9312,89.6586,84.756,98.4141,90.9006,88.186,86.7612,87.4586,84.5104,85.6776,-8542.25,-12244.3,0.100733,-6859.86,-10528.6
112,89.9814,84.6114,85.5569,95.0013,95.0074,91.499,90.2022,88.514,89.4139,89.8823,84.8183,98.5228,91.1737,88.3704,86.4148,87.6335,84.6244,85.5748,-7647.86,-10132,0.0991878,-6228.95,-8662.11
113,89.8363,84.6082,85.4462,94.4601,94.6319,90.9987,89.6847,88.1052,89.1049,89.7309,84.8766,98.2635,91.0551,88.5799,86.7901,87.2221,84.6936,85.6438,-8797.7,-12794,0.105438,-7140.79,-11098.4
114,89.6733,84.652,85.4354,95.0346,94.9849,91.5123,90.0087,88.2611,88.8312,89.5939,85.0153,98.2624,90.6963,88.0327,86.4647,87.5117,84.898,85.4847,-8411.99,-10110.7,0.0793713,-6784.47,-8442.8
115,89.8063,84.6603,85.2735,95.046,95.1046,91.7004,90.0121,88.2471,89.227,89.7036,84.8476,98.6376,90.6399,88.4986,86.5771,87.4634,84.8005,85.3683,-7522.38,-10863.8,0.102664,-5699.37,-9020.81
116,89.8608,84.7377,85.4744,94.6311,94.6593,91.5515,90.2169,88.4923,89.0242,89.766,84.7167,98.4544,91.0307,88.1465,86.3066,87.74,84.8099,85.8325,-7065.47,-11416.5,0.09481,-5529.14,-9835.02
117,89.8032,84.6401,85.3749,95.1387,94.8833,92.1286,90.0938,88.4953,89.5298,89.698,85.2044,98.3141,90.5576,88.0881,86.589,87.5262,85.0306,85.4094,-8746.36,-10358,0.1052,-7329.34,-8926.13
118,89.9923,84.7437,85.4432,94.7957,94.8599,91.5726,89.9057,88.2952,89.1773,89.8893,84.8792,99.1075,90.8088,88.3249,86.387,87.5288,84.7928,85.6072,-9306.19,-10710.7,0.102996,-8062.06,-9455.01
119,89.7771,84.7688,85.1655,94.8416,95.0713,91.9617,90.2303,88.3439,89.3233,89.6796,84.9767,98.979,90.9177,88.0159,86.6533,87.5513,84.643,85.5279,-8658.83,-10225.2,0.0974031,-7073.49,-8619.59
120,89.8479,84.648,85.4977,94.7686,94.9384,91.681,90.0643,88.499,89.256,89.7454,84.5919,98.5879,90.8908,88.2413,86.55,87.1596,84.7155,85.6461,-8776.16,-12050.2,0.102584,-7377.55,-10619.8
121,89.7997,84.6543,85.5277,94.76,94.7237,91.7885,90.2474,88.5417,89.1763,89.6932,84.8376,98.3572,90.6528,88.3063,86.6045,87.5868,84.7448,85.4273,-8036.85,-10700.4,0.106465,-7515.45,-10158.8
122,89.914,84.6642,85.7284,95.1393,95.0115,91.4639,90.0964,88.4851,89.0236,89.8143,85.0856,98.4617,90.9948,88.7326,86.4233,87.6147,84.6396,85.7774,-8043.37,-11371.1,0.0996869,-6820.91,-10103.3
123,89.9915,84.6207,85.5497,94.701,94.3451,91.3703,90.0679,88.4454,89.0512,89.8769,84.7086,98.9962,91.0412,88.8238,86.6266,87.6576,84.639,85.5033,-6984.19,-11912.4,0.114624,-5575.31,-10400.3
124,89.9082,84.807,85.3645,95.0457,94.9987,91.6398,89.7741,88.1498,89.1664,89.8165,85.0175,98.545,90.4442,88.0373,86.2451,87.798,84.6344,85.1561,-7607.13,-10266.4,0.0917734,-6214.84,-8851.84
