ppname	easting	northing	zone	kx1	kx2	kx3	rch
pp181	3611.77	6148.437	1	  4.4810290E+00	  1.1075060E-01	  2.2249220E+00	  1.7107940E-04
pp182	3969.87	6148.437	1	  4.6516930E+00	  1.1424560E-01	  2.4369030E+00	  1.7481207E-04
pp183	4647.702	5649.656	1	  5.0008850E+00	  1.3698950E-01	  3.6334870E+00	  1.7986668E-04
pp184	4558.177	5918.23	1	  4.8818750E+00	  1.2706280E-01	  3.3521400E+00	  1.8085432E-04
pp185	4404.706	6199.595	1	  4.7398940E+00	  1.1742510E-01	  2.9400930E+00	  1.8190961E-04
pp186	4404.706	6378.645	1	  4.6638330E+00	  1.1332360E-01	  2.8308680E+00	  1.8463406E-04
pp187	4123.341	6404.223	4	  5.0801520E+00	  1.0083520E-01	  4.6738820E+00	  2.5729901E-04
pp188	3854.766	6455.38	1	  4.4929660E+00	  1.0779030E-01	  2.3134670E+00	  1.7899558E-04
pp189	3535.034	6404.223	1	  4.3589730E+00	  1.0615390E-01	  2.2220550E+00	  1.7548645E-04
pp190	3304.827	6429.802	1	  4.2298050E+00	  1.0400390E-01	  2.2324730E+00	  1.7545823E-04
pp191	2946.727	6442.591	1	  4.0352740E+00	  1.0100380E-01	  2.3356580E+00	  1.7617658E-04
pp192	3087.41	6634.43	1	  4.0883660E+00	  1.0073130E-01	  2.3249100E+00	  1.7907326E-04
pp193	3394.352	7069.266	1	  4.2107180E+00	  9.9919049E-02	  2.4453980E+00	  1.8780635E-04
pp194	3483.877	6711.166	1	  4.2715150E+00	  1.0242080E-01	  2.2861810E+00	  1.8121799E-04
pp195	3905.924	6851.848	1	  4.4077420E+00	  1.0302140E-01	  2.3367670E+00	  1.8715512E-04
pp196	4327.97	6749.534	1	  4.5177220E+00	  1.0605190E-01	  2.5599080E+00	  1.8993933E-04
pp197	4941.855	5943.809	1	  4.8534580E+00	  1.3300150E-01	  3.8472410E+00	  1.8828469E-04
pp198	2690.942	6225.173	1	  3.9321190E+00	  1.0008260E-01	  2.4932680E+00	  1.7439395E-04
pp199	2396.788	5982.177	1	  3.8101400E+00	  9.7946622E-02	  2.7953800E+00	  1.7316438E-04
pp200	2652.574	5675.234	1	  4.0517980E+00	  1.0297250E-01	  2.8484330E+00	  1.6821580E-04
pp201	2626.995	5432.238	4	  4.5789880E+00	  1.0091850E-01	  4.8042540E+00	  2.6094188E-04
pp202	4993.012	5675.234	4	  5.7348660E+00	  1.0477850E-01	  4.8285540E+00	  2.4686875E-04
pp203	6412.623	2618.596	1	  4.6476920E+00	  1.5875910E-01	  2.8638230E+00	  2.4285113E-04
pp204	5875.473	1109.461	1	  4.7157310E+00	  1.4625030E-01	  3.8100520E+00	  3.5058017E-04
pp205	6821.88	3437.11	1	  4.7250180E+00	  1.8128580E-01	  2.8040680E+00	  1.8362661E-04
pp206	4724.438	8373.772	1	  4.3322490E+00	  9.7659599E-02	  2.4577880E+00	  2.2301004E-04
pp207	1757.324	2925.539	1	  3.3855850E+00	  9.0945493E-02	  7.9350390E+00	  1.4130320E-04
pp208	1092.282	2746.489	1	  2.5099970E+00	  8.2042627E-02	  4.1452700E+00	  1.3850365E-04
pp209	1936.374	3309.217	1	  3.6802150E+00	  9.0740816E-02	  8.5377690E+00	  1.4427418E-04
pp210	715.2287082	9766.392871	1	  4.6798560E+00	  9.9598651E-02	  4.2894790E+00	  2.4662508E-04
pp211	698.6210675	9317.986573	1	  4.5610170E+00	  9.9514162E-02	  4.0536330E+00	  2.4194367E-04
pp212	1612.041304	9633.531746	1	  4.6632820E+00	  9.9700595E-02	  4.2485660E+00	  2.3474686E-04
pp213	1147.027365	9583.708824	1	  4.6229690E+00	  9.9634205E-02	  4.1602010E+00	  2.3827900E-04
pp214	1147.027365	9068.871963	1	  4.4519190E+00	  9.9509152E-02	  3.8110010E+00	  2.3101342E-04
pp215	947.7356775	8670.288587	1	  4.3045200E+00	  9.9327095E-02	  3.5129160E+00	  2.2921586E-04
pp216	432.8988168	8437.781618	1	  4.2976470E+00	  9.9244668E-02	  3.5103910E+00	  2.3857488E-04
