  days     volume       vol_drain     vol_macro      delta_vol      del_vol_drain  del_vol_macro  rainfall       irrigation     recharge       macro_rech     total_rech     gw_withdrawal  net_recharge   runoff         pot_evap       evaporation    gw_pot_evap     balance        elevation      depth-to-water
  2069  0.3000000      0.2634001E-02   0.000000     -0.8762937E-02 -0.1908396E-02   0.000000      0.7200000E-02  0.9912742E-02  0.7756666E-02   0.000000      0.7756666E-02  0.3965097E-02  0.3791569E-02   0.000000      0.1606000      0.2002741E-01  0.1405726     -0.1206934E-14   15.17497       84.82502    
  2100  0.3252792      0.5284510E-02   0.000000      0.2527917E-01  0.2650509E-02   0.000000      0.5380000E-01  0.5389251E-02  0.6823193E-02   0.000000      0.6823193E-02  0.2155701E-02  0.4667493E-02   0.000000      0.1886000      0.2443638E-01  0.1641636     -0.9276434E-15   15.17497       84.82502    
  2130  0.3556904      0.1770569E-01   0.000000      0.3041121E-01  0.1242118E-01   0.000000      0.8630000E-01   0.000000      0.1034308E-01   0.000000      0.1034308E-01   0.000000      0.1034308E-01   0.000000      0.2412000      0.3312453E-01  0.2080755     -0.1040834E-16   15.17497       84.82502    
  2161  0.3602345      0.3677651E-01   0.000000      0.4544132E-02  0.1907081E-01   0.000000      0.1164000       0.000000      0.5841301E-01   0.000000      0.5841301E-01   0.000000      0.5841301E-01   0.000000      0.2258000      0.3437205E-01  0.1914280     -0.1908196E-15   15.17497       84.82502    
  2192  0.3628946      0.3338304E-01   0.000000      0.2660080E-02 -0.3393466E-02   0.000000      0.2621000       0.000000      0.2356266       0.000000      0.2356266       0.000000      0.2356266       0.000000      0.1692000      0.2720680E-01  0.1419932     -0.4510281E-16   15.17497       84.82502    
  2221  0.3248771      0.7728704E-02   0.000000     -0.3801746E-01 -0.2565434E-01   0.000000      0.1370000E-01   0.000000      0.4748793E-01   0.000000      0.4748793E-01   0.000000      0.4748793E-01   0.000000      0.2130000      0.2988387E-01  0.1831161      0.4891920E-15   15.17497       84.82502    
  2252  0.3000000      0.3200512E-02   0.000000     -0.2487713E-01 -0.4528192E-02   0.000000      0.8600000E-02  0.1880784E-02  0.1365848E-01   0.000000      0.1365848E-01  0.7523135E-03  0.1290616E-01   0.000000      0.2034000      0.2622763E-01  0.1771724     -0.3972517E-15   15.17497       84.82502    
  2282  0.3466050      0.5806065E-02   0.000000      0.4660501E-01  0.2605553E-02   0.000000      0.5490000E-01  0.1870193E-01  0.5829895E-02   0.000000      0.5829895E-02  0.7480773E-02 -0.1650878E-02   0.000000      0.1480000      0.1856148E-01  0.1294385     -0.2166236E-14   15.17497       84.82502    
  2313  0.3424326      0.1574126E-01   0.000000     -0.4172387E-02  0.9935191E-02   0.000000      0.6440000E-01   0.000000      0.4594304E-01   0.000000      0.4594304E-01   0.000000      0.4594304E-01   0.000000      0.8480000E-01  0.1269416E-01  0.7210584E-01  0.2723516E-15   15.17497       84.82502    
  2343  0.3360201      0.1231574E-01   0.000000     -0.6412526E-02 -0.3425519E-02   0.000000      0.2770000E-01   0.000000      0.2722408E-01   0.000000      0.2722408E-01   0.000000      0.2722408E-01   0.000000      0.7300000E-01  0.1031396E-01  0.6268604E-01 -0.3573530E-15   15.17497       84.82502    
  2374  0.3297312      0.6055905E-02   0.000000     -0.6288860E-02 -0.6259832E-02   0.000000      0.2090000E-01   0.000000      0.2074908E-01   0.000000      0.2074908E-01   0.000000      0.2074908E-01   0.000000      0.9440000E-01  0.1269961E-01  0.8170040E-01 -0.1908196E-16   15.17497       84.82502    
