real_name,h1-3892_1,h1-1664_1,h1-162_1,h3-3521_1,h3-3988_1,h3-3417_1,h3-3829_1,h3-3357_1,h3-3594_1,h3-3892_1,h3-1152_1,h3-313_1,h3-209_1,h3-331_1,h3-707_1,h3-3956_1,h3-2270_1,h3-521_1,trib_1,total_1,dh3892_1,p-trib_1,p-total_1
64,89.9482,84.6551,85.433,95.6607,94.9927,92.0846,90.2172,89.0601,89.3315,89.8414,85.1035,98.8503,91.7984,89.2901,87.0002,87.5284,84.7542,85.5518,-7225.76,-11797.2,0.106801,-5860.39,-10309
65,89.7622,84.5315,85.4275,94.7022,94.6164,91.5467,90.1319,88.4557,89.1946,89.6656,84.7606,98.563,90.8481,88.6967,86.4511,87.5455,84.6065,85.3576,-10181.9,-13245.6,0.0965444,-8999.06,-12037.4
66,89.8009,84.6055,85.5428,94.9363,94.6861,91.5408,90.3608,88.4959,89.6358,89.7123,85.1346,98.4797,91.1597,88.9212,86.5166,87.4594,84.5785,85.6317,-9015.07,-13301.9,0.0886678,-7505.39,-11764.2
67,89.7095,84.7062,85.4743,95.5429,94.6523,92.0379,90.3013,88.8374,89.2042,89.6144,84.9117,98.5785,90.6888,88.6889,86.4929,87.2687,84.7677,85.5282,-7311.7,-10160,0.0951276,-5788.58,-8589.71
68,89.5491,84.6219,85.4936,95.4577,94.2252,91.8335,90.1316,88.4228,89.1987,89.4383,84.9696,98.6534,90.6526,88.4867,86.6791,87.4399,84.6795,85.5753,-7651.7,-11695.7,0.110751,-6321.69,-10320
69,89.7412,84.6584,85.8781,95.1664,94.5813,91.4571,90.0511,88.5493,89.2377,89.6295,85.0279,98.5764,90.3354,88.3182,86.3858,87.4958,84.9985,85.4866,-8631.39,-13753.3,0.111683,-6999.14,-12065.2
70,89.8631,84.5284,85.4495,95.1202,94.6363,91.4435,90.0509,88.4334,89.2352,89.7554,84.9191,98.5371,90.5604,88.3805,86.4423,87.3585,84.6546,85.2595,-8719.03,-12545.3,0.10772,-7007.21,-10792.5
71,89.5885,84.4653,85.5503,95.0617,94.702,91.945,90.0363,88.8144,89.1389,89.4834,84.8956,98.946,91.1473,88.5012,86.6485,87.327,84.3804,85.6203,-7979.7,-13076.9,0.105114,-6531.97,-11547
72,89.7087,84.6302,85.2018,95.0757,94.5893,91.6609,89.9731,88.7061,89.0759,89.6147,84.8487,98.9098,90.5081,88.4766,86.3717,87.2939,84.9159,85.2499,-8843.89,-11273.9,0.0940512,-7475.55,-9840.24
73,89.5745,84.7482,85.4547,95.2478,95.7101,91.5178,90.0638,88.6599,89.2331,89.4961,85.3181,98.7458,90.7394,88.6038,86.608,87.3652,84.87,85.7017,-7611.38,-11167.6,0.0783832,-6009.5,-9527.66
74,89.567,84.7939,85.39,95.1797,94.4951,91.4961,89.7093,88.6814,89.1751,89.4666,84.775,98.7291,90.5164,87.7991,85.9404,87.2932,85.047,85.1649,-8053.55,-10221.3,0.100421,-6469.29,-8608.31
75,89.5687,84.5679,85.3676,95.6139,94.7865,91.8699,90.111,88.7646,89.1711,89.4715,84.9507,98.6491,90.7848,88.6105,86.4369,87.2146,84.8437,85.4785,-7923.88,-11238.8,0.0971949,-6755.33,-9988.29
76,89.5381,84.5323,85.495,95.4496,94.5432,91.51,90.2113,88.6312,89.0509,89.431,84.9211,98.4722,90.693,88.328,86.2338,87.3833,84.6253,85.4934,-8128.58,-12528.3,0.107115,-6520.39,-10880.8
77,89.645,85.0749,85.3717,95.1682,94.442,91.5978,89.7662,88.3499,89.1545,89.5469,85.1673,98.891,90.8363,88.0613,86.1009,87.5691,85.2256,85.2545,-8934.27,-11025.1,0.0981095,-7217.07,-9294.63
78,89.7077,84.6568,85.2566,95.3035,94.5143,91.7788,90.1412,88.5206,89.3153,89.6179,84.8668,98.5147,90.7903,88.044,86.4671,87.104,85.1465,85.6333,-10181.5,-12316.6,0.089833,-9217.37,-11346.1
79,89.7333,84.7135,85.4227,95.5432,94.5329,91.6539,90.0345,88.7357,89.3586,89.6222,85.1199,98.5919,90.2922,88.0536,86.2028,87.6722,85.14,85.6696,-7469.17,-8997.63,0.111171,-5978.69,-7496.58
80,89.6093,84.682,85.2213,95.6489,94.2988,91.6478,90.209,88.6036,89.2338,89.5039,85.3764,99.0382,90.2171,88.1337,86.5231,87.0064,85.112,85.5324,-8139.32,-10624.6,0.105477,-6456.75,-8925.2
81,89.8675,84.6628,85.6918,95.2872,94.9622,91.8119,89.974,88.6197,89.094,89.778,85.2629,98.6972,90.5563,88.3411,86.5988,87.468,84.8554,85.6211,-8803.34,-12441.3,0.0895728,-7262.64,-10878.7
82,89.8234,84.4837,85.9648,95.0314,94.4727,91.3338,90.1326,88.311,89.0157,89.7028,84.9419,98.7155,91.0437,88.2945,86.0222,87.6956,84.9064,85.4222,-8276.61,-12188.5,0.120607,-6518.78,-10405.2
83,89.6532,84.6325,85.7526,95.204,94.8218,91.9316,90.1343,88.6232,89.0532,89.5432,84.9047,98.8791,90.9973,88.9209,86.575,87.3802,84.6365,85.7462,-7650.48,-11741.2,0.110007,-5968.08,-10037.6
84,89.702,84.7261,85.4573,95.3045,94.4571,91.7043,90.22,88.9242,89.2794,89.6125,85.0459,98.8372,90.4725,88.4001,86.2998,87.3918,85.3272,85.383,-9453.25,-11938.9,0.0895296,-8037.12,-10491.4
85,89.8228,84.6355,85.9648,95.4048,94.6198,91.4892,90.5342,88.5921,89.1257,89.715,85.0307,98.3552,90.2541,88.4442,86.4223,87.4217,84.6144,85.3699,-8455.7,-12875.4,0.107802,-7094.1,-11469.2
86,89.9905,84.5023,85.5201,95.3063,94.7207,91.8999,90.3162,88.9503,89.3333,89.8931,84.8772,99.2247,90.7272,88.6331,86.793,87.4208,84.9263,85.6647,-9155.14,-11947,0.0974849,-7624.77,-10369.4
87,89.8453,84.8576,85.233,95.1049,94.5379,91.6836,90.0288,88.4723,89.2705,89.7465,85.2366,98.6397,90.4062,88.0269,86.2132,87.4239,85.2914,85.4776,-9401.39,-11521.7,0.0987809,-7692.46,-9808.94
88,89.7434,85.0036,85.4893,95.5363,94.9581,91.9313,90.2466,88.7802,89.3951,89.6441,85.6083,98.9414,90.7714,88.0784,86.3809,87.5711,85.2467,85.435,-8081.57,-11027.4,0.0993178,-6411.88,-9350.95
89,89.7028,84.4583,85.528,95.6587,94.5257,91.23,90.0141,88.9131,89.4377,89.6125,84.9163,98.701,90.4723,88.0798,86.4922,87.3421,84.7845,85.4453,-8863.53,-11809.2,0.0903311,-7557.63,-10469.8
90,89.8847,84.6835,85.8498,95.3474,94.0752,91.7442,89.9151,88.7269,89.374,89.8035,85.0511,98.7075,90.6323,88.1559,86.3733,87.5447,84.8596,85.5716,-8607.1,-11101.1,0.0812432,-7460.02,-9886.58
91,89.8361,84.5403,85.528,95.1234,94.5995,91.5107,90.3262,88.8081,89.2071,89.7413,85.0351,98.5753,90.4351,87.8543,86.1357,87.2872,84.8344,85.2376,-9601.5,-11491.6,0.0947858,-8409.18,-10272.8
92,89.7218,84.8261,85.9649,95.1787,94.6766,91.4643,89.8639,88.7322,89.669,89.6392,85.1807,98.3557,90.9582,88.4842,86.7136,87.6152,84.9358,86.0849,-9145.99,-12144.9,0.0825889,-7483.66,-10465.2
93,89.6365,84.6764,85.5492,95.2307,94.7667,91.7407,90.0137,88.762,89.082,89.5295,84.7599,98.5708,90.7153,88.4312,86.0919,87.3146,84.5147,85.5073,-7916.7,-10877.9,0.107022,-6436.97,-9371.18
94,89.6059,84.632,85.7245,95.5357,94.6528,91.8568,90.2383,88.4496,89.3577,89.4934,84.9111,98.6149,90.5158,88.3055,86.6945,87.7151,85.0702,85.5663,-8375.39,-11035.5,0.112519,-6478.26,-9129.56
