ppname	easting	northing	zone	kx1	kx2	kx3	rch
pp201	2626.995	5432.238	4	  1.5853890E-01	  1.1173900E-02	  1.8766000E-03	  1.5190000E-04
pp202	4993.012	5675.234	4	  2.5657800E-02	  3.2213000E-03	  8.3687000E-03	  6.5940000E-04
pp203	6412.623	2618.596	1	  2.1183800E-02	  1.0116340E-01	  2.6683330E-01	  9.1396100E-02
pp204	5875.473	1109.461	1	  1.5356200E-02	  2.0737810E-01	  2.6745450E-01	  1.0777830E-01
pp205	6821.88	3437.11	1	  1.7665100E-02	  7.3804600E-02	  2.8830470E-01	  7.3164200E-02
pp206	4724.438	8373.772	1	  2.9239100E-02	  2.4580000E-03	  4.5523380E-01	  2.7265300E-02
pp207	1757.324	2925.539	1	  3.4292900E-02	  4.7755100E-02	  7.1038830E-01	  1.3539600E-02
pp208	1092.282	2746.489	1	  6.6992000E-02	  1.7950100E-02	  6.5912690E-01	  1.3558800E-02
pp209	1936.374	3309.217	1	  3.8848000E-02	  6.5902100E-02	  6.8810390E-01	  1.0293400E-02
pp210	715.2287082	9766.392871	1	  1.3047700E-02	  1.4550000E-03	  1.0276290E-01	  2.2534500E-02
pp211	698.6210675	9317.986573	1	  1.7176900E-02	  1.8432000E-03	  1.1774240E-01	  2.6908000E-02
pp212	1612.041304	9633.531746	1	  2.3043000E-03	  2.3166000E-03	  1.9379800E-02	  4.3038300E-02
pp213	1147.027365	9583.708824	1	  7.7742000E-03	  2.0086000E-03	  6.2857700E-02	  3.6334300E-02
pp214	1147.027365	9068.871963	1	  1.1406700E-02	  2.4997000E-03	  6.9822200E-02	  4.3979900E-02
pp215	947.7356775	8670.288587	1	  1.9056900E-02	  2.3686000E-03	  1.0333350E-01	  3.9842200E-02
pp216	432.8988168	8437.781618	1	  2.7462300E-02	  1.7455000E-03	  1.5296190E-01	  2.1787200E-02
pp217	1296.496131	8022.590601	1	  2.4457000E-02	  2.6525000E-03	  9.5292500E-02	  4.8737900E-02
pp218	765.0516302	7839.906554	1	  3.3101800E-02	  2.1762000E-03	  1.5179840E-01	  3.0001300E-02
pp219	366.4682542	7125.778005	1	  4.1879000E-02	  2.9252000E-03	  2.1413280E-01	  1.2967800E-02
pp220	200.3918475	7590.791944	1	  3.3258800E-02	  1.6038000E-03	  1.7036770E-01	  1.2475700E-02
pp221	715.2287082	7325.069693	1	  4.3536300E-02	  3.1807000E-03	  1.9975810E-01	  2.3083400E-02
pp222	814.8745522	6777.017551	1	  5.9288300E-02	  8.3940000E-03	  2.7588700E-01	  1.8264600E-02
pp223	1163.635006	6561.118223	1	  7.5744300E-02	  1.7080000E-02	  3.1846050E-01	  2.0701000E-02
pp224	1445.964897	7125.778005	1	  5.6699500E-02	  7.2067000E-03	  2.3544490E-01	  3.5454200E-02
pp225	549.1523015	6561.118223	1	  5.6869100E-02	  8.7472000E-03	  3.0067450E-01	  1.1492600E-02
pp226	1844.548273	7291.854412	1	  5.3875400E-02	  5.9616000E-03	  2.9798110E-01	  4.1474400E-02
pp227	2093.662883	8055.805883	1	  3.2002800E-02	  2.8884000E-03	  2.8793820E-01	  5.3345300E-02
pp228	2375.992775	7922.944757	1	  4.3419800E-02	  2.7497000E-03	  4.2706020E-01	  4.5480500E-02
pp229	2542.069181	8819.757353	1	  2.9462300E-02	  3.3278000E-03	  3.4833850E-01	  4.2501700E-02
pp230	3123.336605	8587.250384	1	  4.1842900E-02	  2.8588000E-03	  5.2967470E-01	  2.4774200E-02
pp231	3272.805371	9019.049041	1	  3.4764800E-02	  3.2607000E-03	  4.7134390E-01	  1.8897300E-02
pp232	2425.815697	9317.986573	1	  1.7034800E-02	  3.1716000E-03	  1.9225590E-01	  4.0047300E-02
pp233	1927.586477	9650.139386	1	  3.2847000E-03	  2.5019000E-03	  2.9208000E-02	  4.2522800E-02
pp234	3472.097059	9600.316464	1	  2.4402500E-02	  3.0845000E-03	  3.5241810E-01	  1.1587600E-02
pp235	3920.503357	9151.910167	1	  2.8884900E-02	  3.4473000E-03	  4.4401980E-01	  1.2107900E-02
pp236	4833.923593	9401.024777	1	  2.9531900E-02	  6.5035000E-03	  3.7751450E-01	  2.6365500E-02
pp237	5083.038203	9666.747027	1	  2.6285200E-02	  9.9955000E-03	  3.1981500E-01	  3.1103400E-02
pp238	5564.659783	9301.378933	1	  2.7280400E-02	  1.6469500E-02	  4.7476810E-01	  5.5747500E-02
pp239	4601.416624	9052.264323	1	  3.0953200E-02	  4.3472000E-03	  4.2777750E-01	  2.2249900E-02
pp240	5249.11461	8686.896228	1	  3.0861700E-02	  5.3372000E-03	  5.5199170E-01	  4.7273200E-02
pp241	5780.559111	8221.882289	1	  2.6025700E-02	  6.0827000E-03	  6.9918080E-01	  6.4880100E-02
pp242	5215.899329	7756.868351	1	  2.2351800E-02	  9.7270000E-04	  5.7564710E-01	  3.8304900E-02
pp243	4352.302014	7939.552398	1	  2.4247300E-02	  1.3404000E-03	  3.7676070E-01	  1.8208700E-02
pp244	4153.010326	8437.781618	1	  2.9742900E-02	  2.4561000E-03	  4.4020120E-01	  1.6152700E-02
pp245	3671.388747	7856.514195	1	  3.3015700E-02	  1.4984000E-03	  4.0521350E-01	  1.5985400E-02
