ppname	easting	northing	zone	kx1	kx2	kx3	rch
pp180	3240.88100	6135.64800	1	5.611E+00	3.090E-01	2.281E+00	5.362E-04
pp181	3611.77000	6148.43700	1	1.075E+01	7.323E-01	2.974E+00	5.657E-04
pp182	3969.87000	6148.43700	1	1.466E+01	9.619E-01	2.837E+00	4.770E-04
pp183	4647.70200	5649.65600	1	1.397E+01	4.484E-02	1.345E+00	4.223E-04
pp184	4558.17700	5918.23000	1	1.077E+01	2.059E-01	1.252E+00	2.925E-04
pp185	4404.70600	6199.59500	1	1.493E+01	2.414E-01	2.925E+00	3.112E-04
pp186	4404.70600	6378.64500	1	1.130E+01	1.478E-01	3.858E+00	2.565E-04
pp187	4123.34100	6404.22300	4	2.576E+00	5.223E-02	2.061E+00	2.001E-04
pp188	3854.76600	6455.38000	1	1.168E+01	5.603E-01	3.702E+00	3.872E-04
pp189	3535.03400	6404.22300	1	3.838E+00	2.596E-02	2.409E+00	4.852E-04
pp190	3304.82700	6429.80200	1	6.480E+00	3.847E-02	2.741E+00	5.158E-04
pp191	2946.72700	6442.59100	1	3.353E+00	6.628E-02	5.361E-01	5.022E-04
pp192	3087.41000	6634.43000	1	1.786E+00	3.373E-02	9.778E-01	5.859E-04
pp193	3394.35200	7069.26600	1	3.518E+00	7.359E-02	1.949E+00	6.584E-04
pp194	3483.87700	6711.16600	1	3.741E+00	5.577E-02	2.693E+00	4.955E-04
pp195	3905.92400	6851.84800	1	1.808E+01	1.484E-01	1.617E+00	4.112E-04
pp196	4327.97000	6749.53400	1	5.210E+01	2.296E-01	4.551E+00	2.437E-04
pp197	4941.85500	5943.80900	1	1.076E+01	8.033E-02	4.757E+00	3.598E-04
pp198	2690.94200	6225.17300	1	3.074E+00	2.016E-02	2.346E-01	4.214E-04
pp199	2396.78800	5982.17700	1	2.608E+00	7.082E-03	4.085E-01	2.322E-04
pp200	2652.57400	5675.23400	1	3.710E+00	9.856E-03	6.307E-01	3.300E-04
pp201	2626.99500	5432.23800	4	1.522E+00	7.872E-01	2.108E+00	2.715E-04
pp202	4993.01200	5675.23400	4	7.952E-01	1.656E-01	2.264E+00	5.857E-04
pp203	6412.62300	2618.59600	1	1.548E+01	7.072E-02	1.971E+01	2.952E-04
pp204	5875.47300	1109.46100	1	9.539E+01	1.962E-01	2.167E+00	3.382E-04
pp205	6821.88000	3437.11000	1	3.541E+00	3.816E-01	5.817E+01	2.185E-04
pp206	4724.43800	8373.77200	1	8.683E+00	1.594E-01	5.673E+00	2.464E-04
pp207	1757.32400	2925.53900	1	3.487E-01	4.105E-02	1.543E+00	2.919E-04
pp208	1092.28200	2746.48900	1	3.762E+00	1.742E-01	2.305E+00	5.394E-04
pp209	1936.37400	3309.21700	1	2.607E-01	4.246E-02	3.376E+00	3.400E-04
pp210	715.22871	9766.39287	1	2.690E+00	2.546E-01	4.513E+00	6.892E-04
pp211	698.62107	9317.98657	1	3.673E+00	9.269E-01	3.316E+00	7.611E-04
pp212	1612.04130	9633.53175	1	8.994E+00	2.467E-01	4.501E+00	3.393E-04
pp213	1147.02737	9583.70882	1	3.561E+00	1.752E-01	6.165E+00	5.630E-04
